id,article_id,article_published_at,abs_change_1day_after_pct,abs_change_1week_after_pct,signed_magnitude,consolidated_event_type,consolidated_factor_name,consolidated_event_tags,event_tag_category,factor_category,event_orientation,factor_orientation,evidence_level,evidence_source,market_regime,article_audience_split,event_trigger,market_perception_emotional_profile,market_perception_cognitive_biases,factor_magnitude,factor_movement,causal_certainty,article_source_credibility,market_perception_intensity,market_perception_hope_vs_fear,market_perception_surprise_vs_anticipated,market_perception_consensus_vs_division,market_perception_narrative_strength,ai_assessment_execution_risk,ai_assessment_competitive_risk,ai_assessment_business_impact_likelihood,ai_assessment_timeline_realism,ai_assessment_fundamental_strength,perception_gap_optimism_bias,perception_gap_risk_awareness,perception_gap_correction_potential,regime_alignment,reframing_potential,narrative_disruption,logical_directness,market_consensus_on_causality,article_author_credibility,article_publisher_credibility,article_time_lag_days,factor_effect_horizon_days,factor_about_time_days
0491b1a1-ef09-4b41-8153-7c34aff7aec2,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,-0.1,0.7,0.8,0.1,0.3,0.9,0.9,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
9806556c-4ab1-47a8-accd-2a7fa8b57217,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.6,,0.7,0.7,0.2,0.4,0.85,0.8,0.85,0.1,0.7,0.3,0.2,0.4,0.2,0.8,0.8,0.1,0.5,,90,30
b29da283-cfec-4476-a775-7a0ec64e207f,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.3,-0.1,0.5,0.5,0.3,0.5,0.7,0.8,0.75,0.1,0.5,0.4,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,180,90
1679580d-5c6e-431d-8605-41f35135dce2,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.85,0.1,0.5,0.4,,0.6,0.6,0.2,0.5,0.8,0.85,0.8,0.1,0.6,0.3,0.3,0.3,0.1,0.8,0.8,0.1,0.5,,180,90
7e93f160-e471-4e29-8bdc-a53b89d7b474,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.6,,0.7,0.7,0.2,0.4,0.85,0.8,0.85,0.1,0.7,0.3,0.2,0.4,0.1,0.8,0.8,0.1,0.5,,90,30
73451f7d-cc48-4b65-824c-685d7b40bed9,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.6,,0.7,0.7,0.2,0.4,0.85,0.8,0.85,0.1,0.7,0.3,0.2,0.4,0.2,0.8,0.8,0.1,0.5,,90,30
3f710250-7d40-4f57-b22a-2cc223975b97,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,-0.1,0.7,0.8,0.1,0.3,0.9,1.0,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
e8b35870-18ed-4215-8177-0694c95ffbc2,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,0.1,0.7,0.8,0.1,0.3,0.9,0.9,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
bcdcdb2c-6e35-40e9-95f1-e78ebc69d1a6,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,-0.1,0.7,0.8,0.1,0.3,0.9,0.9,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
8afc0162-09f7-4fd1-acc5-f49e5c2b3aa3,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,-0.1,0.7,0.8,0.1,0.3,0.9,0.9,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
c96b2228-9c4f-4d1b-98a0-1a4d7b84e560,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.03,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['optimism'],['confirmation_bias'],0.03,1,0.85,0.1,0.5,0.5,,0.6,0.6,0.2,0.5,0.8,0.8,0.8,0.1,0.6,0.3,0.3,0.3,0.1,0.8,0.8,0.1,0.5,,180,90
9481816e-7377-4b52-a566-a2d37c0d4e40,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.4,-0.1,0.6,0.6,0.3,0.5,0.75,0.7,0.75,0.1,0.7,0.3,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,365,180
d5da15c9-7eff-426d-a3da-212191fe8b99,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.6,,0.7,0.7,0.2,0.4,0.85,0.8,0.85,0.1,0.7,0.3,0.2,0.4,0.1,0.8,0.8,0.1,0.5,,90,30
e52da954-7f81-4902-81d5-8afb23bf30e0,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,0.1,0.7,0.8,0.1,0.3,0.9,0.9,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
2c8eb62a-a41b-4660-84a8-4790f4dee6eb,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.03,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,"['confidence', 'interest']",['confirmation_bias'],0.03,1,0.85,0.1,0.5,0.5,,0.6,0.6,0.2,0.5,0.8,0.8,0.8,0.1,0.6,0.3,0.3,0.3,0.2,0.7,0.8,0.1,0.5,,180,90
fb66e0bc-9806-41f7-8dad-84f8117ffae8,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.6,,0.7,0.7,0.2,0.4,0.85,0.8,0.85,0.1,0.7,0.3,0.2,0.4,0.1,0.8,0.8,0.1,0.5,,90,30
a8ab4cb7-7836-41c5-86ee-844e236451d4,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.4,,0.5,0.5,0.3,0.5,0.75,0.7,0.75,0.1,0.5,0.4,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,180,90
e37709a1-f53c-46cf-99dc-656587381882,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.03,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,"['confidence', 'interest']",['confirmation_bias'],0.03,1,0.85,0.1,0.5,0.5,,0.6,0.6,0.2,0.5,0.8,0.8,0.8,0.1,0.6,0.3,0.3,0.3,0.2,0.7,0.8,0.1,0.5,,180,90
85480191-9a29-48e9-b247-a5c55fbc17c8,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'interest']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.5,,0.7,0.7,0.2,0.4,0.85,0.9,0.85,0.1,0.7,0.3,0.2,0.4,0.1,0.8,0.8,0.1,0.5,,90,30
f8a36a9b-6595-4558-81b4-7e82da053a7f,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'confidence']",['confirmation_bias'],0.02,1,0.85,0.1,0.5,0.4,,0.6,0.6,0.2,0.5,0.8,0.85,0.8,0.1,0.6,0.3,0.3,0.3,0.1,0.8,0.8,0.1,0.5,,180,90
5016afad-c60d-41cb-afac-cd29abf67731,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.3,-0.1,0.5,0.5,0.3,0.5,0.7,0.8,0.75,0.1,0.5,0.4,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,180,90
84c1a60d-89c1-4901-a2ad-c808402b8d6a,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.4,-0.1,0.6,0.6,0.3,0.5,0.75,0.7,0.75,0.1,0.7,0.3,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,365,180
1984d84a-6af8-4149-9223-36f20aa2923c,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.4,-0.1,0.5,0.5,0.3,0.5,0.7,0.7,0.75,0.1,0.5,0.4,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,365,180
b819ac50-9543-4e51-b02c-cae1d48c063a,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,stock_price,,,Market Position,reflective,reflective,explicit,article_text,sideways,retail,media_report,"['optimism', 'confidence', 'interest']","['confirmation_bias', 'optimism_bias']",0.01,1,1.0,0.1,0.7,0.5,-0.1,0.7,0.8,0.1,0.3,0.9,1.0,0.9,0.1,0.8,0.2,0.1,0.3,0.1,1.0,0.9,0.1,0.5,,0,0
b13fafa4-640e-463b-aedf-d6de4c9ccc42,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,production_capacity,,,Operational Metrics,reflective,predictive,implied,article_text,sideways,retail,media_report,"['optimism', 'interest']",['confirmation_bias'],0.02,1,0.9,0.1,0.6,0.5,,0.7,0.7,0.2,0.4,0.85,0.9,0.85,0.1,0.7,0.3,0.2,0.4,0.1,0.8,0.8,0.1,0.5,,90,30
9ca17169-b84c-4f49-a4b5-b3f71b9e9bc0,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['optimism'],['confirmation_bias'],0.02,1,0.85,0.1,0.5,0.5,,0.6,0.7,0.2,0.5,0.8,0.8,0.8,0.1,0.6,0.3,0.3,0.3,0.1,0.7,0.8,0.1,0.5,,180,90
bdb17be3-e15f-4467-8ce0-b08ae7f26717,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.01,market_update,operating_margin,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['confidence'],['confirmation_bias'],0.01,1,0.8,0.1,0.4,0.4,-0.1,0.5,0.5,0.3,0.5,0.7,0.7,0.75,0.1,0.5,0.4,0.2,0.4,0.1,0.7,0.7,0.1,0.5,,365,180
5d7a723b-b5f9-48e5-8d82-b556b4357050,d26bbd4c-b9e4-43b1-8762-9c74dea56f52,2025-02-25T09:30:00+00:00,-0.14540167211923488,-3.873338987842806,0.02,market_update,revenue_growth_rate,,,Financial Performance,reflective,predictive,implied,article_text,sideways,retail,media_report,['optimism'],['confirmation_bias'],0.02,1,0.85,0.1,0.5,0.5,,0.6,0.7,0.2,0.5,0.8,0.8,0.8,0.1,0.6,0.3,0.3,0.3,0.1,0.7,0.8,0.1,0.5,,180,90
3372b5f8-145a-4de4-942b-c154978bde7b,331ac7e7-8415-4275-a28a-5744f8703aed,2025-02-25T11:05:47+00:00,-0.14540167211923488,-3.873338987842806,0.005,product_launch,brand_value,,,Market Position,reflective,predictive,implied,model_inference,sideways,neither,press_release,['interest'],['confirmation_bias'],0.005,1,0.6,0.9,0.3,0.2,-0.1,,0.4,0.5,0.5,0.5,0.6,0.6,0.1,0.5,0.3,0.1,0.5,0.2,0.6,0.5,,0.3,4.0,365,180
9249ffce-5061-4b1c-8fd5-dc44a59b0637,331ac7e7-8415-4275-a28a-5744f8703aed,2025-02-25T11:05:47+00:00,-0.14540167211923488,-3.873338987842806,0.02,product_launch,digital_engagement_level,,,Customer Dynamics,reflective,predictive,implied,article_text,sideways,neither,press_release,"['optimism', 'interest']",['optimism_bias'],0.02,1,0.6,0.9,0.4,0.2,,0.5,0.6,0.3,0.5,0.5,0.6,0.6,0.2,0.3,0.4,0.1,0.5,0.2,0.7,0.6,,0.3,4.0,270,60
