article_id,article_published_at,abs_change_1day_after_pct,abs_change_1week_after_pct,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,event_tag_category,factor_category,factor_magnitude,factor_movement,causal_certainty,article_source_credibility,market_perception_intensity,market_perception_hope_vs_fear,market_perception_surprise_vs_anticipated,market_perception_consensus_vs_division,ai_assessment_execution_risk,ai_assessment_business_impact_likelihood,perception_gap_optimism_bias,logical_directness
id1,2024-01-01,2.186127376248366,6.3234059706580625,"ai,hardware",earnings_report,market_perception,Financial & Markets,Financial Performance,0.6724979621988514,-1,0.14472840872445047,0.5573918403976054,0.24013538387114974,-0.584271784998412,0.014940321894824748,0.43401419037320754,0.5195928222693408,0.16755795827590292,0.033553086731240134,0.31751520439667746
id2,2024-01-02,2.7957761866199435,2.9984912979248732,"ai,hardware",earnings_report,market_perception,Technology & Innovation,Financial Performance,0.7567954086988276,1,0.13601720836134723,0.7975197242047306,0.3103869226224346,0.0451316618274018,-0.3556643227357619,0.5658418723650654,0.9287931139433199,0.05041500745541705,0.1687831733647296,0.2088940240732342
id3,2024-01-03,1.5671652125647728,4.680851121628063,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.8344761380083272,-1,0.5630180093195998,0.9940972013738912,0.8035052110475055,0.5092290567434026,0.11459652226259176,0.918371162046533,0.5272417549453201,0.21735380965269546,0.0009630383380301311,0.3436358578292904
id4,2024-01-04,-2.1051674154723194,-1.3711077149114563,"ai,hardware",earnings_report,revenue_growth_rate,Financial & Markets,Financial Performance,0.9732622354480749,1,0.8708090022045534,0.1770211725342581,0.22740947601663808,0.3066608577745933,0.6156550433040848,0.3911992244615998,0.9421157211733081,0.5607333632694143,0.6576337377752912,0.1867103447602061
id5,2024-01-05,0.6368137375077862,-8.243741329721491,"ai,hardware",analyst_update,operating_margin,Technology & Innovation,Market Sentiment,0.6112568125507027,-1,0.17339517076926358,0.547563277459633,0.19443946457992545,0.28328107351833287,0.6725522641979049,0.26472072364230204,0.3070350916889075,0.35766683173270286,0.9629369665777152,0.45858894056246036
id1,2024-01-06,-2.083627196866548,-0.23008470466901937,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.006893503379659327,1,0.6286206312995748,0.7396860396150294,0.6871777501080822,-0.7524401289516949,0.642435030174993,0.1262214116859952,0.9879365729831056,0.7757119810788659,-0.30005912138751634,0.1411613173006594
id2,2024-01-07,-7.080826623433851,-4.554644579286637,"ai,hardware",earnings_report,market_perception,Technology & Innovation,Market Sentiment,0.03817481765529629,0,0.6758755196117703,0.17396757064148483,0.48131114775742645,0.6695059344061465,0.7059702383710791,0.7051248471976408,0.8224598102298113,0.47589899780523126,0.9548566417500646,0.020246798568267943
id3,2024-01-08,4.711136278174525,-1.9279015322717072,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.6963148836764147,0,0.1918994512861918,0.19046434961103076,0.9040603246571409,0.49085387759611376,0.4237503611037796,0.7883395771991424,0.034603105534521506,0.230015197054236,0.22809162594215215,0.8659857634023076
id4,2024-01-09,2.023783599139758,0.82001176115797,"ai,hardware",earnings_report,operating_margin,Technology & Innovation,Financial Performance,0.6818815984443077,1,0.036783712009693326,0.5463319114908739,0.9317895265436662,-0.49649032672486637,-0.8789723239341445,0.48426279941153993,0.5892501361762783,0.5255703873430492,0.018516119493320327,0.9255686959082478
id5,2024-01-10,1.7870275396016144,1.6835912218423879,"ai,hardware",earnings_report,market_perception,Financial & Markets,Market Sentiment,0.24927653950583561,1,0.7439025922066737,0.9879276446743424,0.8696200303621139,-0.10363436012859584,-0.4501345944518462,0.3528868759229503,0.8829064203265653,0.6395592326218541,-0.22329582736085474,0.38027878177413654
id1,2024-01-11,2.496921139250144,-1.305167112596683,"ai,hardware",analyst_update,market_perception,Technology & Innovation,Financial Performance,0.007249729969680985,0,0.5687808800875749,0.688875937724776,0.24803112389845272,0.6268271703114929,-0.8890286270421901,0.2450780571102653,0.15278710413691488,0.11946558624821013,-0.8731761085505452,0.6466989477326622
id2,2024-01-12,0.28304838407936067,-0.369408068493677,"ai,hardware",product_launch,operating_margin,Technology & Innovation,Market Sentiment,0.9111020561104133,-1,0.5268180843245516,0.8735417524557643,0.0958758710054225,0.49931611454637514,-0.9473133316136204,0.3849590258434812,0.8873874764001395,0.7863776110963533,0.4450016289262748,0.750789498016637
id3,2024-01-13,0.043019363689031795,-3.07215173603576,"ai,hardware",analyst_update,market_perception,Financial & Markets,Market Sentiment,0.4221658292927237,0,0.40503066792937914,0.30124805403307353,0.09006527990252677,-0.5197931706659211,-0.28844342234624865,0.43862348939191764,0.5876101612855654,0.9116837577851123,-0.25446304809246345,0.26502209091429996
id4,2024-01-14,-0.6503666894414961,-1.4447584034196213,"ai,hardware",earnings_report,market_perception,Financial & Markets,Financial Performance,0.34429735854520316,0,0.20513875464907738,0.13117460733838338,0.80880668261843,-0.9667817663584146,0.3841789234461632,0.9538612883852111,0.35623026091393706,0.006060485938770177,0.8537322528831224,0.03139193816186436
id5,2024-01-15,3.5768311056032305,-3.4855034735722663,"ai,hardware",earnings_report,operating_margin,Financial & Markets,Market Sentiment,0.7662351395714636,0,0.5561132983022661,0.9620104423683613,0.5587549326172326,0.3335405376468046,0.9970407504161274,0.7609471819462883,0.9913856581036292,0.5668430344521886,0.08473746990661946,0.6558306953166323
id1,2024-01-16,-2.6911375178790333,0.6870244489424103,"ai,hardware",product_launch,revenue_growth_rate,Financial & Markets,Financial Performance,0.17249532997028538,-1,0.17875163906130453,0.1385479587001638,0.996307416960773,0.5102538279977125,-0.2076431005039563,0.8954103980803878,0.5429376818811252,0.6634809990524119,-0.8208486835055446,0.9773392293122692
id2,2024-01-17,-2.6028490371859316,-4.997734082873628,"ai,hardware",analyst_update,revenue_growth_rate,Financial & Markets,Market Sentiment,0.625767788114726,-1,0.05312373817310301,0.4645929697687715,0.9428953472917108,0.7822132439951057,0.5194998614946564,0.028453893930649676,0.7582779024566784,0.26416982887025287,-0.13475165662639976,0.8243562909683401
