article_id,article_published_at,abs_change_1day_after_pct,abs_change_1week_after_pct,consolidated_event_type,consolidated_factor_name,event_tag_category,factor_category,event_orientation,factor_orientation,evidence_level,evidence_source,market_regime,article_audience_split,event_trigger,market_perception_emotional_profile,market_perception_cognitive_biases,factor_magnitude,factor_movement,causal_certainty,article_source_credibility,market_perception_intensity,market_perception_hope_vs_fear,market_perception_surprise_vs_anticipated,market_perception_consensus_vs_division,market_perception_narrative_strength,ai_assessment_execution_risk,ai_assessment_competitive_risk,ai_assessment_business_impact_likelihood,ai_assessment_timeline_realism,ai_assessment_fundamental_strength,perception_gap_optimism_bias,perception_gap_risk_awareness,perception_gap_correction_potential,regime_alignment,reframing_potential,narrative_disruption,logical_directness,market_consensus_on_causality,article_author_credibility,article_publisher_credibility,article_time_lag_days,factor_effect_horizon_days,factor_about_time_days,consolidated_event_tags
id_0,2024-01-01 09:00:00+00,-5.0,-4.5,product_launch,revenue_growth_rate,Technology & Innovation,Financial Performance,predictive,predictive,explicit,article_text,bull,institutional,press_release,"['anticipation', 'optimism']",['optimism_bias'],0.001,-1,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,"ai,hardware"
id_1,2024-02-02 09:00:00+00,-4.5,-4.2,earnings_report,market_perception,Financial & Markets,Market Sentiment,reflective,reflective,implied,press_release,bear,retail,media_report,['interest'],"['confirmation_bias', 'recency_bias']",0.002,0,0.01,0.01,0.01,-0.99,-0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.99,-0.99,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,2,1,"earnings,software"
id_2,2024-03-03 09:00:00+00,-4.0,-3.9,analyst_update,operating_margin,Technology & Innovation,Strategic Factors,both,both,model,model_inference,neutral,both,earnings_call,"['anticipation', 'optimism']","['confirmation_bias', 'recency_bias']",0.003,1,0.02,0.02,0.02,-0.98,-0.98,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.98,-0.98,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2,3,2,"ai,hardware"
id_3,2024-04-04 09:00:00+00,-3.5,-3.5999999999999996,product_launch,revenue_growth_rate,Financial & Markets,Financial Performance,neutral,neutral,explicit,article_text,unknown,neither,press_release,['interest'],['optimism_bias'],0.004,-1,0.03,0.03,0.03,-0.97,-0.97,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-0.97,-0.97,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,3,4,3,"earnings,software"
id_4,2024-05-05 09:00:00+00,-3.0,-3.3,earnings_report,market_perception,Technology & Innovation,Market Sentiment,predictive,predictive,implied,press_release,bull,institutional,media_report,"['anticipation', 'optimism']","['confirmation_bias', 'recency_bias']",0.005,0,0.04,0.04,0.04,-0.96,-0.96,0.04,0.04,0.04,0.04,0.04,0.04,0.04,-0.96,-0.96,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,4,5,4,"ai,hardware"
id_5,2024-06-06 09:00:00+00,-2.5,-3.0,analyst_update,operating_margin,Financial & Markets,Strategic Factors,reflective,reflective,model,model_inference,bear,retail,earnings_call,['interest'],"['confirmation_bias', 'recency_bias']",0.006,1,0.05,0.05,0.05,-0.95,-0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-0.95,-0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,5,6,5,"earnings,software"
id_6,2024-07-07 09:00:00+00,-2.0,-2.6999999999999997,product_launch,revenue_growth_rate,Technology & Innovation,Financial Performance,both,both,explicit,article_text,neutral,both,press_release,"['anticipation', 'optimism']",['optimism_bias'],0.007,-1,0.06,0.06,0.06,-0.94,-0.94,0.06,0.06,0.06,0.06,0.06,0.06,0.06,-0.94,-0.94,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,6,7,6,"ai,hardware"
id_7,2024-08-08 09:00:00+00,-1.5,-2.4,earnings_report,market_perception,Financial & Markets,Market Sentiment,neutral,neutral,implied,press_release,unknown,neither,media_report,['interest'],"['confirmation_bias', 'recency_bias']",0.008,0,0.07,0.07,0.07,-0.93,-0.93,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.93,-0.93,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,7,8,7,"earnings,software"
id_8,2024-09-09 09:00:00+00,-1.0,-2.1,analyst_update,operating_margin,Technology & Innovation,Strategic Factors,predictive,predictive,model,model_inference,bull,institutional,earnings_call,"['anticipation', 'optimism']","['confirmation_bias', 'recency_bias']",0.009000000000000001,1,0.08,0.08,0.08,-0.92,-0.92,0.08,0.08,0.08,0.08,0.08,0.08,0.08,-0.92,-0.92,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,8,9,8,"ai,hardware"
id_9,2024-10-10 09:00:00+00,-0.5,-1.7999999999999998,product_launch,revenue_growth_rate,Financial & Markets,Financial Performance,reflective,reflective,explicit,article_text,bear,retail,press_release,['interest'],['optimism_bias'],0.009999999999999998,-1,0.09,0.09,0.09,-0.91,-0.91,0.09,0.09,0.09,0.09,0.09,0.09,0.09,-0.91,-0.91,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,9,10,9,"earnings,software"
id_10,2024-11-11 09:00:00+00,0.0,-1.5,earnings_report,market_perception,Technology & Innovation,Market Sentiment,both,both,implied,press_release,neutral,both,media_report,"['anticipation', 'optimism']","['confirmation_bias', 'recency_bias']",0.011,0,0.1,0.1,0.1,-0.9,-0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.9,-0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,11,10,"ai,hardware"
id_11,2024-12-12 09:00:00+00,0.5,-1.2,analyst_update,operating_margin,Financial & Markets,Strategic Factors,neutral,neutral,model,model_inference,unknown,neither,earnings_call,['interest'],"['confirmation_bias', 'recency_bias']",0.012,1,0.11,0.11,0.11,-0.89,-0.89,0.11,0.11,0.11,0.11,0.11,0.11,0.11,-0.89,-0.89,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1,12,11,"earnings,software"
id_12,2024-01-13 09:00:00+00,1.0,-0.8999999999999999,product_launch,revenue_growth_rate,Technology & Innovation,Financial Performance,predictive,predictive,explicit,article_text,bull,institutional,press_release,"['anticipation', 'optimism']",['optimism_bias'],0.013000000000000001,-1,0.12,0.12,0.12,-0.88,-0.88,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.88,-0.88,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,2,13,12,"ai,hardware"
id_13,2024-02-14 09:00:00+00,1.5,-0.6,earnings_report,market_perception,Financial & Markets,Market Sentiment,reflective,reflective,implied,press_release,bear,retail,media_report,['interest'],"['confirmation_bias', 'recency_bias']",0.013999999999999999,0,0.13,0.13,0.13,-0.87,-0.87,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.87,-0.87,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,3,14,13,"earnings,software"
