article_id,article_published_at,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,factor_category,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,causal_certainty,ai_assessment_business_impact_likelihood,ai_assessment_competitive_risk,ai_assessment_execution_risk,abs_change_1day_after_pct
art_0000,2024-09-07T09:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,7.045422515525027,1,7.873887295757822,7.2,0.75,0.8,0.6,0.4,-0.32304633299688046
art_0001,2024-09-07T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.2483672213921775,1,9.260066033367078,8.9,0.85,0.9,0.3,0.2,-0.21759207955319848
art_0002,2024-09-08T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,9.255906142943896,-1,8.354366294839721,7.2,0.75,0.8,0.6,0.4,0.34992151497981006
art_0003,2024-09-08T15:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.639331738793722,1,8.683761764018014,8.9,0.85,0.9,0.3,0.2,-2.137165710274492
art_0004,2024-09-09T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.5175581533380615,-1,8.494499009925,7.2,0.75,0.8,0.6,0.4,-4.172707699059529
art_0005,2024-09-09T13:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,7.590351834340785,1,9.288169319917815,8.9,0.85,0.9,0.3,0.2,-1.1410363396486933
art_0006,2024-09-10T11:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,5.514067386004253,1,8.444773194805089,7.2,0.75,0.8,0.6,0.4,0.9899066645538559
art_0007,2024-09-10T12:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,8.345062521733093,-1,8.400619867943579,8.9,0.85,0.9,0.3,0.2,-3.9812584224581693
art_0008,2024-09-11T16:00:00+00:00,"ai,hardware,software",product_announcement,market_share,market_position,technology,8.740734071789838,1,8.94039985385232,7.2,0.75,0.8,0.6,0.4,1.5406426989497248
art_0009,2024-09-11T10:00:00+00:00,"earnings,revenue_growth",earnings_report,revenue_growth_rate,financial_performance,financial,9.927206637804552,-1,9.958793583528008,8.9,0.85,0.9,0.3,0.2,-4.7759670335937585
