id,business_factor_id,article_id,causal_events_ai_id,ticker,event_timestamp,article_published_at,factor_name,factor_category,factor_magnitude,factor_movement,factor_synonyms,factor_unit,factor_raw_value,factor_delta,factor_description,factor_orientation,factor_about_time_days,factor_effect_horizon_days,causal_certainty,logical_directness,regime_alignment,causal_step,event_type,event_description,event_trigger,event_entities,event_scope,event_orientation,event_time_horizon_days,event_tags,event_quoted_people,article_headline,article_url,article_authors,article_source,article_source_credibility,article_author_credibility,article_publisher_credibility,article_audience_split,article_time_lag_days,article_market_regime,article_apple_relevance_score,article_ticker_relevance_score,article_published_year,article_published_month,article_published_day_of_week,evidence_level,evidence_source,evidence_citation,market_consensus_on_causality,reframing_potential,narrative_disruption,market_perception_intensity,market_perception_hope_vs_fear,market_perception_surprise_vs_anticipated,market_perception_consensus_vs_division,market_perception_narrative_strength,market_perception_emotional_profile,market_perception_cognitive_biases,ai_assessment_execution_risk,ai_assessment_competitive_risk,ai_assessment_business_impact_likelihood,ai_assessment_timeline_realism,ai_assessment_fundamental_strength,perception_gap_optimism_bias,perception_gap_risk_awareness,perception_gap_correction_potential,market_hours,market_regime,pattern_strength_score,data_quality_score,alpha_vs_spy_1min_after,alpha_vs_spy_5min_after,alpha_vs_spy_10min_after,alpha_vs_spy_30min_after,alpha_vs_spy_1hour_after,alpha_vs_spy_4hour_after,alpha_vs_spy_1day_after,alpha_vs_spy_1week_after,alpha_vs_spy_1month_after,alpha_vs_qqq_1min_after,alpha_vs_qqq_5min_after,alpha_vs_qqq_10min_after,alpha_vs_qqq_30min_after,alpha_vs_qqq_1hour_after,alpha_vs_qqq_4hour_after,alpha_vs_qqq_1day_after,alpha_vs_qqq_1week_after,alpha_vs_qqq_1month_after,belief_strength,credibility_score,market_amplifier,credibility_weighted_magnitude
record-0000-4917,factor-0000-8836,article-0000-3533,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,product,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,predictive,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3171671324286633,-0.3420341859620108,-0.3669012394953583,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0001-7902,factor-0001-6573,article-0001-8665,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,regulatory,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,reflective,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2638349261191265,-0.2353697733429371,-0.2069046205667477,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0002-3106,factor-0002-5356,article-0002-9844,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,product,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,predictive,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3844301332850969,-0.4765601876748779,-0.568690242064659,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0003-5270,factor-0003-7356,article-0003-3170,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,product,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,predictive,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3697344958939972,-0.4471689128926787,-0.5246033298913602,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0004-1110,factor-0004-4938,article-0004-4205,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,regulatory,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,predictive,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,predictive,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3070663081617981,-0.3218325374282805,-0.3365987666947628,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0005-5901,factor-0005-6830,article-0005-4208,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,competitive,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,reflective,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2271008134398637,-0.1619015479844116,-0.0967022825289595,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0006-3272,factor-0006-2532,article-0006-3055,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,financial,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,neutral,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2317840342542798,-0.1712679896132437,-0.1107519449722077,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0007-2127,factor-0007-8402,article-0007-3727,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,competitive,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,predictive,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2556870016967174,-0.219073924498119,-0.1824608472995206,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0008-2318,factor-0008-3381,article-0008-9657,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,market,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,predictive,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3546103109730164,-0.4169205430507169,-0.4792307751284175,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0009-7787,factor-0009-8237,article-0009-3772,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,product,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2121895594094977,-0.1320790399236796,-0.0519685204378614,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0010-3677,factor-0010-4872,article-0010-2474,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,financial,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,neutral,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3474771904676125,-0.4026543020399091,-0.4578314136122057,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0011-2507,factor-0011-3164,article-0011-5164,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,financial,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,predictive,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3683922584942292,-0.4444844380931426,-0.5205766176920561,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0012-4652,factor-0012-5729,article-0012-2642,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,competitive,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,reflective,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,reflective,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3683799811549784,-0.4444598834146409,-0.5205397856743035,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0013-1292,factor-0013-3769,article-0013-2934,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,market,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,neutral,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,neutral,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.3209288950487733,-0.3495577112022309,-0.3781865273556883,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
record-0014-5261,factor-0014-8424,article-0014-8544,7f123456-1234-1234-1234-123456789012,AAPL,2025-02-25 09:30:00+00,2025-02-25 09:25:00+00,stock_performance_highlight,financial,0.01,1,,percentage,1%,0.01,Stock performance highlighted in news,reflective,1,7,1,1,0.1,1,news_analysis,Analysis of recent stock performance,market_movement,Apple Inc,company,neutral,7,"performance,analysis",,Apple Stock Rises on Strong Quarterly Results,https://example.com/article,,Financial News,0.8,0.7,0.85,institutional,0,bull,0.95,0.95,2025,2,2,high,financial_statements,Q1 2025 earnings report,0.8,0.2,0.1,0.7,0.6,0.4,0.7,0.8,optimistic,confirmation_bias,0.2,0.3,0.8,0.9,0.85,0.1,0.8,0.3,regular,bull,0.7,0.9,0.0476999211046841,-0.0423000788953158,-0.0923000788953158,-0.1423000788953158,-0.1923000788953158,-0.2423000788953158,-0.2494748828270601,-0.2066496867588043,-0.1638244906905486,0.0376999211046841,-0.0523000788953158,-0.1023000788953158,-0.1523000788953158,-0.2023000788953158,-0.2523000788953158,-0.3023000788953158,-0.3523000788953158,-0.4023000788953158,0.01,0.0,0.6499999999999999,0.008
