feature,importance
ai_present,0.0
hardware_present,0.0
software_present,0.0
semiconductor_present,0.0
cloud_services_present,0.0
data_center_present,0.0
cybersecurity_present,0.0
blockchain_present,0.0
vr_ar_present,0.0
autonomous_tech_present,0.0
space_tech_present,0.0
earnings_present,0.0
revenue_growth_present,0.0
operating_margin_present,0.0
valuation_present,0.0
market_sentiment_present,0.0
investor_sentiment_present,0.0
capital_allocation_present,0.0
investment_strategy_present,0.0
product_innovation_present,0.0
product_launch_present,0.0
manufacturing_present,0.0
supply_chain_present,0.0
business_strategy_present,0.0
partnership_present,0.0
acquisition_present,0.0
competitive_pressure_present,0.0
regulatory_present,0.0
legal_ruling_present,0.0
antitrust_present,0.0
government_policy_present,0.0
trade_policy_present,0.0
export_controls_present,0.0
privacy_present,0.0
compliance_present,0.0
market_share_present,0.0
customer_demand_present,0.0
brand_reputation_present,0.0
advertising_present,0.0
ecommerce_present,0.0
financial_services_present,0.0
gaming_present,0.0
streaming_present,0.0
energy_present,0.0
geopolitical_present,0.0
china_present,0.0
india_present,0.0
tariff_present,0.0
macroeconomic_present,0.0
currency_present,0.0
executive_change_present,0.0
leadership_present,0.0
shareholder_relations_present,0.0
corporate_strategy_present,0.0
cost_increase_present,0.0
supply_disruption_present,0.0
regulatory_change_present,0.0
economic_conditions_present,0.0
analyst_update_present,0.0
earnings_report_present,0.0
investment_change_present,0.0
dividend_announcement_present,0.0
share_buyback_present,0.0
ipo_announcement_present,0.0
product_update_present,0.0
technology_update_present,0.0
research_development_present,0.0
market_update_present,0.0
competitive_action_present,0.0
industry_conference_present,0.0
market_sentiment_shift_present,0.0
leadership_change_present,0.0
partnership_deal_present,0.0
corporate_restructuring_present,0.0
regulatory_action_present,0.0
compliance_update_present,0.0
policy_change_present,0.0
operational_change_present,0.0
manufacturing_update_present,0.0
supply_chain_change_present,0.0
capacity_expansion_present,0.0
trade_policy_change_present,0.0
geopolitical_event_present,0.0
macroeconomic_update_present,0.0
currency_change_present,0.0
business_strategy_update_present,0.0
market_expansion_present,0.0
brand_initiative_present,0.0
customer_program_launch_present,0.0
cybersecurity_incident_present,0.0
regulatory_investigation_present,0.0
reputational_event_present,0.0
shareholder_meeting_present,0.0
employee_event_present,0.0
customer_feedback_present,0.0
community_engagement_present,0.0
analyst_rating_change_present,0.0
revenue_growth_rate_present,0.0
earnings_per_share_present,0.0
cost_level_present,0.0
profitability_present,0.0
stock_price_present,0.0
market_volatility_present,0.0
valuation_multiple_present,0.0
brand_value_present,0.0
production_capacity_present,0.0
supply_availability_present,0.0
manufacturing_efficiency_present,0.0
operational_costs_present,0.0
product_quality_index_present,0.0
workforce_effectiveness_present,0.0
investment_level_present,0.0
capital_expenditure_present,0.0
r_and_d_spending_present,0.0
cash_flow_present,0.0
debt_level_present,0.0
product_innovation_rate_present,0.0
product_differentiation_present,0.0
technology_adoption_present,0.0
partnership_strength_present,0.0
innovation_pipeline_strength_present,0.0
distribution_effectiveness_present,0.0
customer_sentiment_present,0.0
customer_buying_power_present,0.0
customer_retention_rate_present,0.0
product_refresh_cycle_present,0.0
sales_efficiency_present,0.0
digital_engagement_level_present,0.0
analyst_confidence_present,0.0
market_perception_present,0.0
reputation_index_present,0.0
market_intelligence_index_present,0.0
tariff_impact_present,0.0
geopolitical_risk_present,0.0
macroeconomic_conditions_present,0.0
interest_rate_sensitivity_present,0.0
currency_exposure_present,0.0
technology_advancement_rate_present,0.0
digital_transformation_level_present,0.0
cybersecurity_risk_present,0.0
compliance_risk_present,0.0
supply_chain_risk_present,0.0
talent_retention_risk_present,0.0
technology_obsolescence_risk_present,0.0
regulatory_risk_present,0.0
technology_innovation_present,0.0
financial_markets_present,0.0
factor_magnitude,0.0
factor_movement,0.0
article_source_credibility,0.0
market_perception_intensity,0.0
