feature,correlation,p_value,present_count,present_percentage,alpha_when_present,alpha_when_absent,alpha_difference
hardware_present,0.006685096552421848,0.4640174980325496,1747,14.558333333333334,0.02536745467687366,-0.029422904117145633,0.05479035879401929
ai_present,-0.004856063673364637,0.5947932873995835,1683,14.025000000000002,-0.05620045136678312,-0.015776944164224115,-0.04042350720255901
semiconductor_present,0.003723978651811128,0.6833468427500732,1728,14.399999999999999,0.00479886364872364,-0.02586142221355048,0.030660285862274123
cloud_services_present,,,0,0.0,,-0.021446341049383012,
data_center_present,,,0,0.0,,-0.021446341049383012,
cybersecurity_present,,,0,0.0,,-0.021446341049383012,
blockchain_present,,,0,0.0,,-0.021446341049383012,
vr_ar_present,,,0,0.0,,-0.021446341049383012,
autonomous_tech_present,,,0,0.0,,-0.021446341049383012,
space_tech_present,,,0,0.0,,-0.021446341049383012,
earnings_present,0.006551634207854757,0.47298637611903765,1708,14.233333333333334,0.025041860233015353,-0.02916125047324003,0.054203110706255386
revenue_growth_present,,,0,0.0,,-0.021446341049383012,
operating_margin_present,,,0,0.0,,-0.021446341049383012,
valuation_present,,,0,0.0,,-0.021446341049383012,
market_sentiment_present,,,0,0.0,,-0.021446341049383012,
investor_sentiment_present,,,0,0.0,,-0.021446341049383012,
capital_allocation_present,,,0,0.0,,-0.021446341049383012,
investment_strategy_present,,,0,0.0,,-0.021446341049383012,
product_innovation_present,,,0,0.0,,-0.021446341049383012,
product_launch_present,0.006273436675979525,0.4919845994049157,2396,19.966666666666665,0.0148594022666078,-0.030503875512639358,0.04536327777924716
manufacturing_present,,,0,0.0,,-0.021446341049383012,
supply_chain_present,,,0,0.0,,-0.021446341049383012,
business_strategy_present,,,0,0.0,,-0.021446341049383012,
partnership_present,,,0,0.0,,-0.021446341049383012,
acquisition_present,,,0,0.0,,-0.021446341049383012,
competitive_pressure_present,0.007710786515608125,0.3983348203698258,2340,19.5,0.02383991931632221,-0.03241630474045446,0.056256224056776674
regulatory_present,-0.003323009196518433,0.7158725681115667,1717,14.308333333333334,-0.04495313816208625,-0.017521302573985605,-0.027431835588100646
legal_ruling_present,,,0,0.0,,-0.021446341049383012,
antitrust_present,,,0,0.0,,-0.021446341049383012,
government_policy_present,,,0,0.0,,-0.021446341049383012,
trade_policy_present,,,0,0.0,,-0.021446341049383012,
export_controls_present,,,0,0.0,,-0.021446341049383012,
privacy_present,,,0,0.0,,-0.021446341049383012,
compliance_present,,,0,0.0,,-0.021446341049383012,
market_share_present,-0.00697136269720011,0.4451031182802424,2363,19.691666666666666,-0.06214160712384436,-0.011467829714532722,-0.050673777409311636
customer_demand_present,,,0,0.0,,-0.021446341049383012,
brand_reputation_present,,,0,0.0,,-0.021446341049383012,
advertising_present,,,0,0.0,,-0.021446341049383012,
ecommerce_present,,,0,0.0,,-0.021446341049383012,
financial_services_present,,,0,0.0,,-0.021446341049383012,
gaming_present,,,0,0.0,,-0.021446341049383012,
streaming_present,,,0,0.0,,-0.021446341049383012,
