feature,importance
consolidated_event_type_encoded,481.16479873657227
market_regime_encoded,409.38880157470703
article_source_credibility_scaled,351.8012981414795
event_orientation_encoded,229.69330215454102
event_trigger_encoded,181.51129913330078
article_audience_split_encoded,74.82509994506836
market_perception_intensity_scaled,36.29570007324219
bias_herding_behavior_present,0.0
bias_authority_bias_present,0.0
bias_halo_effect_present,0.0
bias_planning_fallacy_present,0.0
signed_magnitude_scaled,0.0
factor_magnitude_scaled,0.0
causal_certainty_scaled,0.0
factor_movement_clean,0.0
factor_magnitude_scaled_scaled,0.0
bias_loss_aversion_present,0.0
consolidated_factor_name_encoded,0.0
factor_category_encoded,0.0
factor_orientation_encoded,0.0
evidence_level_encoded,0.0
evidence_source_encoded,0.0
bias_recency_bias_present,0.0
ai_tag_present,0.0
hardware_tag_present,0.0
emotion_confidence_present,0.0
software_tag_present,0.0
semiconductor_tag_present,0.0
earnings_tag_present,0.0
valuation_tag_present,0.0
antitrust_tag_present,0.0
privacy_tag_present,0.0
financial_services_tag_present,0.0
emotion_anticipation_present,0.0
emotion_optimism_present,0.0
emotion_relief_present,0.0
bias_optimism_bias_present,0.0
emotion_interest_present,0.0
emotion_uncertainty_present,0.0
emotion_concern_present,0.0
emotion_skepticism_present,0.0
emotion_indifference_present,0.0
emotion_complacency_present,0.0
bias_availability_heuristic_present,0.0
bias_anchoring_bias_present,0.0
bias_confirmation_bias_present,0.0
bias_overconfidence_bias_present,0.0
