feature,specific_feature,feature_category,rf_importance,lgb_importance,combined_rank,correlation_with_target,correlation_direction,abs_correlation,feature_mean,feature_std,feature_range,technical_category
consolidated_event_type,consolidated_event_type,Core Categorical,0.16349841139523874,7,1,-0.022012829598326292,negative,0.022012829598326292,12.543677658877485,5.524672676594989,23.0,categorical
article_source_credibility,article_source_credibility,Core Numerical,0.14467895098581507,10,2,0.025225578650092985,positive,0.025225578650092985,0.4405001091941471,0.2183731957599057,0.8,numerical
event_tag_category,event_tag_category,Core Categorical,0.08632806308025835,7,3,0.04324476860747341,positive,0.04324476860747341,16.717623935357064,6.705686453055128,22.0,categorical
article_publisher_credibility,article_publisher_credibility,Extended Numerical,0.07066670993421942,7,4,0.02104563235290301,positive,0.02104563235290301,0.60329766324525,0.12991895667317424,0.6000000000000001,numerical
article_audience_split,article_audience_split,Core Categorical,0.058739586338408714,2,5,-0.08088832441177872,negative,0.08088832441177872,0.7099803450535052,1.1532987665063006,3.0,categorical
market_perception_hope_vs_fear,market_perception_hope_vs_fear,Extended Numerical,0.058177761025428903,3,6,0.016425642913321378,positive,0.016425642913321378,0.038512775715221666,0.29643536630382,1.4,numerical
article_time_lag_days,article_time_lag_days,Extended Numerical,0.05126790725592237,6,7,0.037086821055656735,positive,0.037086821055656735,0.955055689015069,8.582389639065633,364.0,numerical
event_orientation,event_orientation,Core Categorical,0.05705919180728372,2,8,0.024625557347580245,positive,0.024625557347580245,2.3606682681808255,0.6037371067525765,3.0,categorical
regime_alignment,regime_alignment,Extended Numerical,0.04117792304389457,2,9,0.06553089836770973,positive,0.06553089836770973,0.19893535706486132,0.22760441508078408,1.5,numerical
market_perception_surprise_vs_anticipated,market_perception_surprise_vs_anticipated,Extended Numerical,0.015510222425799126,2,10,-0.09468011242580765,negative,0.09468011242580765,-0.025611487224284784,0.15797061449994151,1.2,numerical
market_regime,market_regime,Core Categorical,0.02755336613721144,1,11,-0.15079914609120237,negative,0.15079914609120237,0.9141734003057436,0.9008108109580144,3.0,categorical
ai_assessment_business_impact_likelihood,ai_assessment_business_impact_likelihood,Extended Numerical,0.00922620919554293,2,12,-0.012482833315065925,negative,0.012482833315065925,0.7012065953264904,0.16555827076943047,1.0,numerical
signed_magnitude,signed_magnitude,Core Numerical,0.01469004282482995,1,13,0.03338198972602075,positive,0.03338198972602075,0.004823323869840576,0.02429176367544856,0.5,numerical
perception_gap_optimism_bias,perception_gap_optimism_bias,Extended Numerical,0.009689660055580909,1,14,0.003584959684177106,positive,0.003584959684177106,-0.015549246560384361,0.17597628184924496,1.6,numerical
perception_gap_correction_potential,perception_gap_correction_potential,Extended Numerical,0.008316953997600402,1,15,0.022824355208465232,positive,0.022824355208465232,0.3675584188687486,0.12703153395847547,0.9,numerical
market_perception_consensus_vs_division,market_perception_consensus_vs_division,Extended Numerical,0.008034682411250766,1,16,0.03699132831390858,positive,0.03699132831390858,0.4969316444638567,0.1772910158882004,1.1,numerical
article_author_credibility,article_author_credibility,Extended Numerical,0.04575803818575437,0,17,0.06336511196677162,positive,0.06336511196677162,0.21359467132561694,0.104969593885512,0.5,numerical
event_trigger,event_trigger,Core Categorical,0.031023945997561028,0,18,-0.04558777060909296,negative,0.04558777060909296,2.8411225158331512,0.7664923076144406,4.0,categorical
evidence_source,evidence_source,Core Categorical,0.004885120832626537,1,19,-0.028780976153109532,negative,0.028780976153109532,1.7879449661498144,0.9827711600502026,3.0,categorical
factor_magnitude,factor_magnitude,Core Numerical,0.004800252868025033,1,20,-0.007631312681898866,negative,0.007631312681898866,0.015266542913299848,0.019591488014322353,0.25,numerical
perception_gap_risk_awareness,perception_gap_risk_awareness,Extended Numerical,0.02136270882281011,0,21,0.006130655642152246,positive,0.006130655642152246,0.4350131032976632,0.3004838565426861,1.5,numerical
