feature,lgb_importance,correlation_with_target,correlation_direction,abs_correlation,feature_mean,feature_std,feature_range,technical_category,feature_category,specific_feature
article_source_credibility,10,0.025225578650092985,positive,0.025225578650092985,0.4405001091941471,0.2183731957599057,0.8,numerical,Core Numerical,article_source_credibility
consolidated_event_type,7,-0.022012829598326292,negative,0.022012829598326292,12.543677658877485,5.524672676594989,23.0,categorical,Core Categorical,consolidated_event_type
event_tag_category,7,0.04324476860747341,positive,0.04324476860747341,16.717623935357064,6.705686453055128,22.0,categorical,Core Categorical,event_tag_category
article_publisher_credibility,7,0.02104563235290301,positive,0.02104563235290301,0.60329766324525,0.12991895667317424,0.6000000000000001,numerical,Extended Numerical,article_publisher_credibility
article_time_lag_days,6,0.037086821055656735,positive,0.037086821055656735,0.955055689015069,8.582389639065633,364.0,numerical,Extended Numerical,article_time_lag_days
market_perception_hope_vs_fear,3,0.016425642913321378,positive,0.016425642913321378,0.038512775715221666,0.29643536630382,1.4,numerical,Extended Numerical,market_perception_hope_vs_fear
event_orientation,2,0.024625557347580245,positive,0.024625557347580245,2.3606682681808255,0.6037371067525765,3.0,categorical,Core Categorical,event_orientation
regime_alignment,2,0.06553089836770973,positive,0.06553089836770973,0.19893535706486132,0.22760441508078408,1.5,numerical,Extended Numerical,regime_alignment
article_audience_split,2,-0.08088832441177872,negative,0.08088832441177872,0.7099803450535052,1.1532987665063006,3.0,categorical,Core Categorical,article_audience_split
ai_assessment_business_impact_likelihood,2,-0.012482833315065925,negative,0.012482833315065925,0.7012065953264904,0.16555827076943047,1.0,numerical,Extended Numerical,ai_assessment_business_impact_likelihood
market_perception_surprise_vs_anticipated,2,-0.09468011242580765,negative,0.09468011242580765,-0.025611487224284784,0.15797061449994151,1.2,numerical,Extended Numerical,market_perception_surprise_vs_anticipated
reframing_potential,1,-0.007664545759800913,negative,0.007664545759800913,0.5194256387857611,0.12709495051080427,0.8,numerical,Extended Numerical,reframing_potential
perception_gap_correction_potential,1,0.022824355208465232,positive,0.022824355208465232,0.3675584188687486,0.12703153395847547,0.9,numerical,Extended Numerical,perception_gap_correction_potential
perception_gap_optimism_bias,1,0.003584959684177106,positive,0.003584959684177106,-0.015549246560384361,0.17597628184924496,1.6,numerical,Extended Numerical,perception_gap_optimism_bias
market_perception_consensus_vs_division,1,0.03699132831390858,positive,0.03699132831390858,0.4969316444638567,0.1772910158882004,1.1,numerical,Extended Numerical,market_perception_consensus_vs_division
ai_assessment_fundamental_strength,1,-0.010064088487729484,negative,0.010064088487729484,0.7677931862852151,0.13393682826133835,1.0,numerical,Extended Numerical,ai_assessment_fundamental_strength
factor_orientation,1,0.008294020332977098,positive,0.008294020332977098,1.1990609303341342,0.43667610908297166,2.0,categorical,Core Categorical,factor_orientation
market_regime,1,-0.15079914609120237,negative,0.15079914609120237,0.9141734003057436,0.9008108109580144,3.0,categorical,Core Categorical,market_regime
signed_magnitude,1,0.03338198972602075,positive,0.03338198972602075,0.004823323869840576,0.02429176367544856,0.5,numerical,Core Numerical,signed_magnitude
factor_magnitude,1,-0.007631312681898866,negative,0.007631312681898866,0.015266542913299848,0.019591488014322353,0.25,numerical,Core Numerical,factor_magnitude
evidence_level,1,-0.012163003755286258,negative,0.012163003755286258,0.8470189997816117,0.6382885016043577,2.0,categorical,Core Categorical,evidence_level
evidence_source,1,-0.028780976153109532,negative,0.028780976153109532,1.7879449661498144,0.9827711600502026,3.0,categorical,Core Categorical,evidence_source
factor_category,1,-0.0069636172689833365,negative,0.0069636172689833365,3.5100458615418213,2.4355529741546427,10.0,categorical,Core Categorical,factor_category
cost_increase_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,cost_increase
supply_disruption_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,supply_disruption
regulatory_change_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,regulatory_change
economic_conditions_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,economic_conditions
geopolitical_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,geopolitical
emotion_anticipation_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,anticipation
emotion_optimism_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,optimism
emotion_confidence_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,confidence
emotion_relief_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,relief
emotion_satisfaction_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,satisfaction
emotion_interest_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,interest
emotion_surprise_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,surprise
emotion_excitement_present,0,,neutral,,0.0,0.0,0.0,emotion_flag,Emotional Profile,excitement
shareholder_relations_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,shareholder_relations
corporate_strategy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,corporate_strategy
energy_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,energy
leadership_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,leadership
executive_change_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,executive_change
currency_tag_present,0,,neutral,,0.0,0.0,0.0,event_tag_flag,Event Tags,currency
