article_id,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,event_tag_category,factor_magnitude,factor_movement,article_source_credibility,market_perception_intensity,alpha_vs_spy_1day_after,alpha_vs_spy_1week_after,alpha_vs_qqq_1day_after,signed_change_1day_after_pct,ai_tag_present,hardware_tag_present,software_tag_present,semiconductor_tag_present,cloud_services_tag_present,data_center_tag_present,cybersecurity_tag_present,blockchain_tag_present,vr_ar_tag_present,autonomous_tech_tag_present,space_tech_tag_present,earnings_tag_present,revenue_growth_tag_present,operating_margin_tag_present,valuation_tag_present,market_sentiment_tag_present,investor_sentiment_tag_present,capital_allocation_tag_present,investment_strategy_tag_present,product_innovation_tag_present,product_launch_tag_present,manufacturing_tag_present,supply_chain_tag_present,business_strategy_tag_present,partnership_tag_present,acquisition_tag_present,competitive_pressure_tag_present,regulatory_tag_present,legal_ruling_tag_present,antitrust_tag_present,government_policy_tag_present,trade_policy_tag_present,export_controls_tag_present,privacy_tag_present,compliance_tag_present,market_share_tag_present,customer_demand_tag_present,brand_reputation_tag_present,advertising_tag_present,ecommerce_tag_present,financial_services_tag_present,gaming_tag_present,streaming_tag_present,energy_tag_present,geopolitical_tag_present,china_tag_present,india_tag_present,tariff_tag_present,macroeconomic_tag_present,currency_tag_present,executive_change_tag_present,leadership_tag_present,shareholder_relations_tag_present,corporate_strategy_tag_present,cost_increase_tag_present,supply_disruption_tag_present,regulatory_change_tag_present,economic_conditions_tag_present
article_0_b152,software,product_launch,competitive_pressure,,0.0042794620639871,-1,0.8868391273003876,0.3304665476271669,1.8451420619085124,-5.485424206551532,4.530477018298836,1.8451420619085124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_0_46a4,,market_update,market_share,,0.0207011096139065,-1,0.4561556918214602,0.7144408514750845,4.512173576899703,7.791461740764047,2.0367813471516385,4.512173576899703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_0_0b10,ai,regulatory_change,revenue_growth_rate,Technology,0.005316041778279,-1,0.1997094475523969,0.2129286158232137,0.2834193803208473,2.9184371894099703,3.5000618114705704,0.2834193803208473,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_1_b152,earnings,product_launch,customer_sentiment,,0.0359965745481377,0,0.2749958457953141,0.7726940621953777,-2.720514636809762,2.2801860998409795,-2.0789086803408985,-2.720514636809762,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_1_46a4,ai,product_launch,market_share,,0.0141158359572374,1,0.5804767701855515,0.382833240335577,-1.1644147818359163,6.171942898256219,1.9302346152990744,-1.1644147818359163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_1_0b10,semiconductor,analyst_update,competitive_pressure,Technology,0.0160686515339976,-1,0.907113113283338,0.1094103103434678,4.693888313322029,0.8400864373979045,1.352750402521976,4.693888313322029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_2_b152,regulatory,product_launch,revenue_growth_rate,,0.0146453375984487,0,0.1953245757984288,0.9300705518544976,-4.850024489330194,6.314339518644911,-0.0700445468488819,-4.850024489330194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_2_46a4,semiconductor,analyst_update,market_share,,0.0160279480100959,0,0.3887850892644363,0.9349079140934776,3.8649312754836087,6.121424048405406,0.3262582749320886,3.8649312754836087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_2_0b10,software,product_launch,supply_chain_risk,Technology,0.0285871411698934,1,0.2075413774228455,0.4577526153540416,2.0436533336190887,1.900423890177416,0.6885394626044705,2.0436533336190887,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_3_b152,semiconductor,product_launch,supply_chain_risk,,0.0323516190461713,1,0.7246405763023931,0.1229477615489312,-0.6639812984935667,8.099066061167973,-0.6213062621879473,-0.6639812984935667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_3_46a4,hardware,market_update,revenue_growth_rate,,0.0392371296110635,0,0.2414315311203266,0.8008763878820704,-2.8482276862444245,-1.4716351824327734,-3.6722627583054135,-2.8482276862444245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_3_0b10,,product_launch,competitive_pressure,Technology,0.0095379715410734,1,0.5986578009325306,0.5241354604335319,-0.0688606547827552,4.877416861285104,2.5492416741079604,-0.0688606547827552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_4_b152,ai,product_launch,market_share,,0.0311850299104027,0,0.6716408849558944,0.7128061437842055,-3.0733243766448357,4.691570438060491,4.854152434310959,-3.0733243766448357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_4_46a4,,market_update,competitive_pressure,,0.0426340029258883,-1,0.9659385588792136,0.4398182861107059,-3.4036551865599796,8.743035202565977,-4.191045214700512,-3.4036551865599796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_4_0b10,semiconductor,earnings_report,market_share,Technology,0.0166718277311547,1,0.4963831007471658,0.151717566545611,3.021671598993505,5.251786334710513,-3.2395370145293345,3.021671598993505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_5_b152,software,earnings_report,customer_sentiment,,0.0052499226232663,0,0.8388239085532372,0.8075937546955445,4.348696847863093,-7.492494164507145,-0.587085379222434,4.348696847863093,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_5_46a4,,product_launch,competitive_pressure,,0.0283816836205861,-1,0.1042199882669509,0.1057209798502598,3.03572815518954,-5.914924565448089,-3.615189256267364,3.03572815518954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_5_0b10,software,regulatory_change,market_share,Technology,0.025550773260795,-1,0.173620658089186,0.2558768876358165,0.6548232401192711,-9.610316265159842,1.5426340018722997,0.6548232401192711,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_6_b152,earnings,product_launch,revenue_growth_rate,,0.0049070131128578,1,0.219420013301496,0.2747523835276736,1.7378023777787133,4.9519216348306605,3.0025905465791913,1.7378023777787133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_6_46a4,semiconductor,analyst_update,supply_chain_risk,,0.0385832555776312,-1,0.682280775280994,0.7572257667387636,-2.842726005229549,-8.100377412562356,1.526770882412393,-2.842726005229549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_6_0b10,semiconductor,regulatory_change,supply_chain_risk,Technology,0.0283367228514902,1,0.420345424029513,0.6082022134495133,-1.4982189167986182,4.117706316597034,4.790470972623901,-1.4982189167986182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_7_b152,ai,earnings_report,customer_sentiment,,0.0490427606959822,1,0.1290997676913189,0.4351734002117992,-1.741007150300311,1.3623958518041457,-2.181352367153655,-1.741007150300311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_7_46a4,ai,earnings_report,market_share,,0.0178513733546228,0,0.3816192502502937,0.2006786726836825,0.4770884523309127,2.1906285624537025,-1.40204331053862,0.4770884523309127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_7_0b10,ai,market_update,supply_chain_risk,Technology,0.0436249945073297,0,0.1681252620565085,0.7887713094054013,-3.643638744655573,-2.7096548458850456,-1.5588135228018152,-3.643638744655573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_8_b152,,product_launch,customer_sentiment,,0.0214236018970242,0,0.2265648656500909,0.7382191702638884,3.174312272376991,-7.302247147650201,-0.2473723874667599,3.174312272376991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_8_46a4,earnings,analyst_update,revenue_growth_rate,,0.0454211734119582,-1,0.3690748671270401,0.1634893105398663,3.354067097813899,-6.958662180062896,-0.5807952923208959,3.354067097813899,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_8_0b10,software,regulatory_change,revenue_growth_rate,Technology,0.0085726637623764,-1,0.1622391350889219,0.1190716737607212,3.366664151460287,7.854866553754507,1.8633241992619864,3.366664151460287,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_9_b152,earnings,regulatory_change,supply_chain_risk,,0.0378296794447938,-1,0.8905729056908943,0.761944354764409,-0.9736750294604156,7.229093811694394,-3.860337594044949,-0.9736750294604156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_9_46a4,,regulatory_change,customer_sentiment,,0.0049244345696909,-1,0.7922385175866656,0.1635671924720629,-3.952357852935174,4.706665201431677,0.6549165770193444,-3.952357852935174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_9_0b10,,product_launch,competitive_pressure,Technology,0.0158319394532552,1,0.3654510043411084,0.8034678788778028,2.8537874102815652,-1.2884894685929127,-1.0757294514331273,2.8537874102815652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_10_b152,software,product_launch,competitive_pressure,,0.0211014599169408,1,0.1998747043106639,0.2353636997433336,1.5664588965424986,3.0035558325266143,-4.326468069147847,1.5664588965424986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_10_46a4,hardware,regulatory_change,competitive_pressure,,0.013187172577515,-1,0.256912353606344,0.2652520520901208,1.665356671285949,-7.183520217270251,-3.578793999146579,1.665356671285949,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_10_0b10,,analyst_update,customer_sentiment,Technology,0.0395317463865696,0,0.6155181062099829,0.3744404204608905,3.991982811954655,7.615024121449827,2.3450309200281163,3.991982811954655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_11_b152,regulatory,product_launch,supply_chain_risk,,0.0087684283230069,0,0.1634711692294849,0.222909299748118,3.516977774054614,3.9048971290249246,-2.079116795289319,3.516977774054614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_11_46a4,hardware,regulatory_change,market_share,,0.0497887563844603,-1,0.1838591551017326,0.4034922538845971,4.419401222829189,-6.674416578363007,0.3798279828079398,4.419401222829189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_11_0b10,regulatory,earnings_report,supply_chain_risk,Technology,0.0060223405180921,1,0.3144199054209352,0.4493846906713957,-0.4538144479463868,-0.7012382090078662,0.1462623659003659,-0.4538144479463868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_12_b152,hardware,regulatory_change,market_share,,0.0067319331856437,0,0.2363643340431812,0.6078154831942751,4.181879767391142,0.7099458020883587,4.229639425945095,4.181879767391142,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_12_46a4,regulatory,analyst_update,competitive_pressure,,0.0284387126505869,0,0.2429171559326792,0.2541303958384103,-2.9525680880929492,-4.514764714256952,1.0192963332455152,-2.9525680880929492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_12_0b10,hardware,earnings_report,supply_chain_risk,Technology,0.0440382336295227,-1,0.3042504363487374,0.1872286969045404,-0.7770749641848995,3.260861591166093,2.487928966254592,-0.7770749641848995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_13_b152,semiconductor,analyst_update,competitive_pressure,,0.0134419968290792,0,0.4760060582181832,0.7611075147554709,-4.911891088925896,5.032405302515621,3.179259579678433,-4.911891088925896,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_13_46a4,regulatory,product_launch,customer_sentiment,,0.0316165373967265,1,0.1439937322126614,0.1787453092599884,-0.7355727860968575,7.230130401084162,0.7882369065470407,-0.7355727860968575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_13_0b10,semiconductor,market_update,revenue_growth_rate,Technology,0.0287845192902336,1,0.3357182269887627,0.6931753872847333,3.014606567462519,-9.911367469081249,-1.6081374605941456,3.014606567462519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_14_b152,software,product_launch,market_share,,0.0393742442322311,0,0.6925920559185359,0.9939449520753736,1.6597716236448978,-3.86046973562004,0.5628951492575873,1.6597716236448978,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_14_46a4,,earnings_report,market_share,,0.0213093092596113,-1,0.7049601702149115,0.5324050364649138,4.727331938781828,3.0345394219594923,-3.450014612442085,4.727331938781828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_14_0b10,hardware,market_update,supply_chain_risk,Technology,0.0457593880749506,0,0.8555092566480058,0.8585488458491307,2.6961384179832946,-9.596059133981605,-2.757127449865698,2.6961384179832946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_15_b152,semiconductor,earnings_report,market_share,,0.0207551998055295,0,0.43464432178171,0.7318222729851477,3.917988994156633,-5.345586877000166,-1.9298249175407232,3.917988994156633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_15_46a4,hardware,market_update,market_share,,0.0116097485423016,-1,0.8496815730490441,0.1402991896321374,0.3479207064654899,-7.127355752871365,0.7464423280456711,0.3479207064654899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_15_0b10,software,regulatory_change,revenue_growth_rate,Technology,0.0471098337328842,1,0.5480086998090652,0.3828522273638221,4.599364273840384,-6.925254898888598,-0.1436870684765911,4.599364273840384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_16_b152,hardware,regulatory_change,market_share,,0.0337500462838394,-1,0.5467119051607428,0.4760221781483979,-0.8534098668131274,7.671392243178337,-4.533163872030617,-0.8534098668131274,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_16_46a4,ai,product_launch,supply_chain_risk,,0.0130123682436232,0,0.2819019495220565,0.2730637776623068,4.943496482122888,9.45093550089386,-4.740624690009085,4.943496482122888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_16_0b10,,regulatory_change,revenue_growth_rate,Technology,0.0060383380161681,-1,0.9548160484332427,0.8518393026168721,3.259241673014998,-2.324903804097118,0.3569320336626136,3.259241673014998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_17_b152,semiconductor,product_launch,revenue_growth_rate,,0.0275595675785852,1,0.6782539146829969,0.1965735817603741,2.1730174833356997,-6.908334990290001,1.2922243965600575,2.1730174833356997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_17_46a4,regulatory,market_update,market_share,,0.0487241628523535,1,0.4267092362875956,0.2270671153878003,3.1807652902772587,-5.1146492737957505,4.982944108144727,3.1807652902772587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_17_0b10,,market_update,competitive_pressure,Technology,0.0082981603041746,0,0.921347455797632,0.5697248342674489,3.3701545148516345,4.157357148433114,-4.765404229391283,3.3701545148516345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_18_b152,ai,product_launch,supply_chain_risk,,0.0219769588844232,1,0.2977215315628458,0.1438489601273983,-4.2964621771307945,-2.601604666648496,-4.36564007794897,-4.2964621771307945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_18_46a4,regulatory,market_update,customer_sentiment,,0.0077404230458891,1,0.3967538723250814,0.937215227622525,-4.856708341106261,-4.9051094016026635,0.9850450526907416,-4.856708341106261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_18_0b10,regulatory,analyst_update,customer_sentiment,Technology,0.0026576708986311,0,0.9053472059280216,0.1849247755991088,-2.9350996603327593,-2.485642884159331,-2.063275247932921,-2.9350996603327593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_19_b152,hardware,regulatory_change,market_share,,0.0106287163337022,-1,0.9033715772024088,0.7039948327077014,-0.6937040938627614,-9.668158354149444,3.660984974337611,-0.6937040938627614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_19_46a4,hardware,product_launch,market_share,,0.0493963206618088,1,0.927552830057616,0.7565887439401087,-0.6575511268090917,7.414646688490906,-0.2558456216661475,-0.6575511268090917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
article_19_0b10,earnings,analyst_update,supply_chain_risk,Technology,0.0041643002490038,1,0.1745269646035663,0.3857048545351269,-0.4247728675458595,-5.982695113698917,-1.9515498227830672,-0.4247728675458595,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
