feature,importance
abs_change_1week_after_pct,34685.523653030396
market_regime_encoded,2144.2097129821777
article_source_credibility,1341.9839935302734
event_trigger_encoded,1324.46750831604
consolidated_event_type_encoded,1220.7207012176514
article_audience_split_encoded,1177.0902996063232
event_orientation_encoded,740.9628944396973
market_perception_intensity,266.6012992858887
antitrust_tag_present,201.86920166015625
signed_magnitude,180.25799942016602
factor_movement,78.68569946289062
ai_tag_present,76.60830307006836
revenue_growth_tag_present,0.0
emotion_greed_present,0.0
bias_loss_aversion_present,0.0
bias_overconfidence_bias_present,0.0
bias_optimism_bias_present,0.0
bias_confirmation_bias_present,0.0
bias_anchoring_bias_present,0.0
bias_availability_heuristic_present,0.0
emotion_complacency_present,0.0
emotion_dread_present,0.0
emotion_panic_present,0.0
emotion_euphoria_present,0.0
emotion_FOMO_present,0.0
operating_margin_tag_present,0.0
emotion_indifference_present,0.0
emotion_disgust_present,0.0
emotion_anger_present,0.0
emotion_fear_present,0.0
emotion_disappointment_present,0.0
emotion_skepticism_present,0.0
emotion_concern_present,0.0
emotion_uncertainty_present,0.0
emotion_surprise_present,0.0
emotion_interest_present,0.0
bias_sunk_cost_fallacy_present,0.0
bias_hindsight_bias_present,0.0
bias_recency_bias_present,0.0
bias_herding_behavior_present,0.0
software_tag_present,0.0
semiconductor_tag_present,0.0
evidence_source_encoded,0.0
evidence_level_encoded,0.0
factor_orientation_encoded,0.0
cloud_services_tag_present,0.0
factor_category_encoded,0.0
consolidated_factor_name_encoded,0.0
data_center_tag_present,0.0
signed_magnitude_scaled,0.0
cybersecurity_tag_present,0.0
blockchain_tag_present,0.0
causal_certainty,0.0
vr_ar_tag_present,0.0
autonomous_tech_tag_present,0.0
space_tech_tag_present,0.0
bias_dunning_kruger_effect_present,0.0
bias_survivorship_bias_present,0.0
bias_planning_fallacy_present,0.0
bias_halo_effect_present,0.0
bias_authority_bias_present,0.0
emotion_satisfaction_present,0.0
emotion_relief_present,0.0
emotion_confidence_present,0.0
customer_demand_tag_present,0.0
compliance_tag_present,0.0
privacy_tag_present,0.0
export_controls_tag_present,0.0
trade_policy_tag_present,0.0
government_policy_tag_present,0.0
earnings_tag_present,0.0
legal_ruling_tag_present,0.0
regulatory_tag_present,0.0
competitive_pressure_tag_present,0.0
acquisition_tag_present,0.0
partnership_tag_present,0.0
business_strategy_tag_present,0.0
supply_chain_tag_present,0.0
manufacturing_tag_present,0.0
product_launch_tag_present,0.0
product_innovation_tag_present,0.0
investment_strategy_tag_present,0.0
capital_allocation_tag_present,0.0
investor_sentiment_tag_present,0.0
market_sentiment_tag_present,0.0
valuation_tag_present,0.0
market_share_tag_present,0.0
brand_reputation_tag_present,0.0
emotion_optimism_present,0.0
advertising_tag_present,0.0
emotion_excitement_present,0.0
emotion_anticipation_present,0.0
economic_conditions_tag_present,0.0
hardware_tag_present,0.0
supply_disruption_tag_present,0.0
cost_increase_tag_present,0.0
corporate_strategy_tag_present,0.0
shareholder_relations_tag_present,0.0
leadership_tag_present,0.0
executive_change_tag_present,0.0
currency_tag_present,0.0
macroeconomic_tag_present,0.0
tariff_tag_present,0.0
india_tag_present,0.0
china_tag_present,0.0
geopolitical_tag_present,0.0
energy_tag_present,0.0
streaming_tag_present,0.0
gaming_tag_present,0.0
financial_services_tag_present,0.0
ecommerce_tag_present,0.0
regulatory_change_tag_present,0.0
