article_id,article_published_at,abs_change_1day_after_pct,abs_change_1week_after_pct,consolidated_event_tags,consolidated_event_type,consolidated_factor_name,event_tag_category,factor_category,factor_magnitude,factor_movement,causal_certainty,article_source_credibility,market_perception_intensity,market_perception_hope_vs_fear,market_perception_surprise_vs_anticipated,market_perception_consensus_vs_division,ai_assessment_execution_risk,ai_assessment_business_impact_likelihood,perception_gap_optimism_bias,logical_directness,ai_tag_present,hardware_tag_present,software_tag_present,semiconductor_tag_present,cloud_services_tag_present,data_center_tag_present,cybersecurity_tag_present,blockchain_tag_present,vr_ar_tag_present,autonomous_tech_tag_present,space_tech_tag_present,earnings_tag_present,revenue_growth_tag_present,operating_margin_tag_present,valuation_tag_present,market_sentiment_tag_present,investor_sentiment_tag_present,capital_allocation_tag_present,investment_strategy_tag_present,product_innovation_tag_present,product_launch_tag_present,manufacturing_tag_present,supply_chain_tag_present,business_strategy_tag_present,partnership_tag_present,acquisition_tag_present,competitive_pressure_tag_present,regulatory_tag_present,legal_ruling_tag_present,antitrust_tag_present,government_policy_tag_present,trade_policy_tag_present,export_controls_tag_present,privacy_tag_present,compliance_tag_present,market_share_tag_present,customer_demand_tag_present,brand_reputation_tag_present,advertising_tag_present,ecommerce_tag_present,financial_services_tag_present,gaming_tag_present,streaming_tag_present,energy_tag_present,geopolitical_tag_present,china_tag_present,india_tag_present,tariff_tag_present,macroeconomic_tag_present,currency_tag_present,executive_change_tag_present,leadership_tag_present,shareholder_relations_tag_present,corporate_strategy_tag_present,cost_increase_tag_present,supply_disruption_tag_present,regulatory_change_tag_present,economic_conditions_tag_present
id1,2024-01-01,2.186127376248366,6.3234059706580625,"ai,hardware",earnings_report,market_perception,Financial & Markets,Financial Performance,0.6724979621988514,-1,0.1447284087244504,0.5573918403976054,0.2401353838711497,-0.584271784998412,0.0149403218948247,0.4340141903732075,0.5195928222693408,0.1675579582759029,0.0335530867312401,0.3175152043966774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id2,2024-01-02,2.7957761866199435,2.9984912979248732,"ai,hardware",earnings_report,market_perception,Technology & Innovation,Financial Performance,0.7567954086988276,1,0.1360172083613472,0.7975197242047306,0.3103869226224346,0.0451316618274018,-0.3556643227357619,0.5658418723650654,0.92879311394332,0.050415007455417,0.1687831733647296,0.2088940240732342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id3,2024-01-03,1.5671652125647728,4.680851121628063,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.8344761380083272,-1,0.5630180093195998,0.9940972013738912,0.8035052110475055,0.5092290567434026,0.1145965222625917,0.918371162046533,0.5272417549453201,0.2173538096526954,0.0009630383380301,0.3436358578292904,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id4,2024-01-04,-2.105167415472319,-1.3711077149114563,"ai,hardware",earnings_report,revenue_growth_rate,Financial & Markets,Financial Performance,0.9732622354480748,1,0.8708090022045534,0.1770211725342581,0.227409476016638,0.3066608577745933,0.6156550433040848,0.3911992244615998,0.942115721173308,0.5607333632694143,0.6576337377752912,0.1867103447602061,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id5,2024-01-05,0.6368137375077862,-8.243741329721491,"ai,hardware",analyst_update,operating_margin,Technology & Innovation,Market Sentiment,0.6112568125507027,-1,0.1733951707692635,0.547563277459633,0.1944394645799254,0.2832810735183328,0.6725522641979049,0.264720723642302,0.3070350916889075,0.3576668317327028,0.9629369665777152,0.4585889405624603,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id1,2024-01-06,-2.083627196866548,-0.2300847046690193,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.0068935033796593,1,0.6286206312995748,0.7396860396150294,0.6871777501080822,-0.7524401289516949,0.642435030174993,0.1262214116859952,0.9879365729831056,0.7757119810788659,-0.3000591213875163,0.1411613173006594,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id2,2024-01-07,-7.080826623433851,-4.554644579286637,"ai,hardware",earnings_report,market_perception,Technology & Innovation,Market Sentiment,0.0381748176552962,0,0.6758755196117703,0.1739675706414848,0.4813111477574264,0.6695059344061465,0.7059702383710791,0.7051248471976408,0.8224598102298113,0.4758989978052312,0.9548566417500646,0.0202467985682679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id3,2024-01-08,4.711136278174525,-1.9279015322717072,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.6963148836764147,0,0.1918994512861918,0.1904643496110307,0.9040603246571408,0.4908538775961137,0.4237503611037796,0.7883395771991424,0.0346031055345215,0.230015197054236,0.2280916259421521,0.8659857634023076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id4,2024-01-09,2.023783599139758,0.82001176115797,"ai,hardware",earnings_report,operating_margin,Technology & Innovation,Financial Performance,0.6818815984443077,1,0.0367837120096933,0.5463319114908739,0.9317895265436662,-0.4964903267248663,-0.8789723239341445,0.4842627994115399,0.5892501361762783,0.5255703873430492,0.0185161194933203,0.9255686959082478,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id5,2024-01-10,1.7870275396016144,1.683591221842388,"ai,hardware",earnings_report,market_perception,Financial & Markets,Market Sentiment,0.2492765395058356,1,0.7439025922066737,0.9879276446743424,0.8696200303621139,-0.1036343601285958,-0.4501345944518462,0.3528868759229503,0.8829064203265653,0.6395592326218541,-0.2232958273608547,0.3802787817741365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id1,2024-01-11,2.496921139250144,-1.305167112596683,"ai,hardware",analyst_update,market_perception,Technology & Innovation,Financial Performance,0.0072497299696809,0,0.5687808800875749,0.688875937724776,0.2480311238984527,0.6268271703114929,-0.8890286270421901,0.2450780571102653,0.1527871041369148,0.1194655862482101,-0.8731761085505452,0.6466989477326622,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id2,2024-01-12,0.2830483840793606,-0.369408068493677,"ai,hardware",product_launch,operating_margin,Technology & Innovation,Market Sentiment,0.9111020561104132,-1,0.5268180843245516,0.8735417524557643,0.0958758710054225,0.4993161145463751,-0.9473133316136204,0.3849590258434812,0.8873874764001395,0.7863776110963533,0.4450016289262748,0.750789498016637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id3,2024-01-13,0.0430193636890317,-3.07215173603576,"ai,hardware",analyst_update,market_perception,Financial & Markets,Market Sentiment,0.4221658292927237,0,0.4050306679293791,0.3012480540330735,0.0900652799025267,-0.5197931706659211,-0.2884434223462486,0.4386234893919176,0.5876101612855654,0.9116837577851123,-0.2544630480924634,0.2650220909142999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id4,2024-01-14,-0.6503666894414961,-1.4447584034196213,"ai,hardware",earnings_report,market_perception,Financial & Markets,Financial Performance,0.3442973585452031,0,0.2051387546490773,0.1311746073383833,0.80880668261843,-0.9667817663584146,0.3841789234461632,0.9538612883852112,0.356230260913937,0.0060604859387701,0.8537322528831224,0.0313919381618643,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id5,2024-01-15,3.5768311056032305,-3.4855034735722663,"ai,hardware",earnings_report,operating_margin,Financial & Markets,Market Sentiment,0.7662351395714636,0,0.5561132983022661,0.9620104423683612,0.5587549326172326,0.3335405376468046,0.9970407504161274,0.7609471819462883,0.9913856581036292,0.5668430344521886,0.0847374699066194,0.6558306953166323,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id1,2024-01-16,-2.6911375178790333,0.6870244489424103,"ai,hardware",product_launch,revenue_growth_rate,Financial & Markets,Financial Performance,0.1724953299702853,-1,0.1787516390613045,0.1385479587001638,0.996307416960773,0.5102538279977125,-0.2076431005039563,0.8954103980803878,0.5429376818811252,0.6634809990524119,-0.8208486835055446,0.9773392293122692,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id2,2024-01-17,-2.6028490371859316,-4.997734082873628,"ai,hardware",analyst_update,revenue_growth_rate,Financial & Markets,Market Sentiment,0.625767788114726,-1,0.053123738173103,0.4645929697687715,0.9428953472917108,0.7822132439951057,0.5194998614946564,0.0284538939306496,0.7582779024566784,0.2641698288702528,-0.1347516566263997,0.8243562909683401,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id3,2024-01-18,-2.066923880063726,-3.2928833183511466,"ai,hardware",product_launch,revenue_growth_rate,Technology & Innovation,Financial Performance,0.433213286893228,0,0.6058413912561615,0.1633053968424387,0.3157188278041977,-0.345982106310271,-0.975914218984304,0.6748953673330442,0.5930238428588243,0.2349928986614782,0.148174664090942,0.8883150120972577,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
id4,2024-01-19,0.5452787087293534,-9.745634002642934,"ai,hardware",product_launch,market_perception,Financial & Markets,Financial Performance,0.0026748310520037,-1,0.8785740919828053,0.6358822973011463,0.9055952587085202,-0.013553968995742,-0.9568223895231832,0.4861789912296312,0.1140398716956533,0.3632939441280464,0.0633173235314572,0.3877141854904448,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
